group,team,game,opponent,attempts,on_target,off_target,goals_for,goals_against,on_target_against
A,FRANCE,1,KOREA,21,8,8,4,0,1
A,KOREA,1,FRANCE,4,1,2,0,4,8
B,GERMANY,1,CHINA,18,5,8,1,0,1
B,CHINA,1,GERMANY,4,1,2,0,1,5
B,SPAIN,1,SOUTH AFRICA,25,12,5,3,1,2
B,SOUTH AFRICA,1,SPAIN,4,2,0,1,3,12
A,NORWAY,1,NIGERIA,10,4,4,3,0,1
A,NIGERIA,1,NORWAY,9,1,6,0,3,4
C,AUSTRALIA,1,ITALY,17,7,7,1,2,3
C,ITALY,1,AUSTRALIA,5,3,1,2,1,7
C,BRAZIL,1,JAMAICA,18,6,8,3,0,3
C,JAMAICA,1,BRAZIL,13,3,6,0,3,6
D,ENGLAND,1,SCOTLAND,14,6,6,2,1,4
D,SCOTLAND,1,ENGLAND,8,4,2,1,2,6
D,ARGENTINA,1,JAPAN,5,1,2,0,0,3
D,JAPAN,1,ARGENTINA,8,3,5,0,0,1
E,CANADA,1,CAMEROON,16,4,6,1,0,1
E,CAMEROON,1,CANADA,5,1,3,0,1,4
E,NEW ZEALAND,1,NETHERLANDS,6,3,2,0,1,3
E,NETHERLANDS,1,NEW ZEALAND,17,3,8,1,0,3
F,CHILE,1,SWEDEN,6,1,5,0,2,7
F,SWEDEN,1,CHILE,25,7,11,2,0,1
F,USA,1,THAILAND,39,21,9,13,0,2
F,THAILAND,1,USA,2,2,0,0,13,21
A,NIGERIA,2,KOREA,12,2,7,2,0,7
A,KOREA,2,NIGERIA,15,7,3,0,2,2
B,GERMANY,2,SPAIN,15,8,6,1,0,2
B,SPAIN,2,GERMANY,16,2,6,0,1,8
A,FRANCE,2,NORWAY,16,5,3,2,1,1
A,NORWAY,2,FRANCE,5,1,3,1,2,5
C,AUSTRALIA,2,BRAZIL,9,5,3,3,2,4
C,BRAZIL,2,AUSTRALIA,12,4,4,2,3,5
B,SOUTH AFRICA,2,CHINA,5,1,4,0,1,3
B,CHINA,2,SOUTH AFRICA,17,3,9,1,0,1
D,JAPAN,2,SCOTLAND,18,6,8,2,1,4
D,SCOTLAND,2,JAPAN,12,4,6,1,2,6
C,JAMAICA,2,ITALY,12,2,3,0,5,6
C,ITALY,2,JAMAICA,13,6,5,5,0,2
D,ENGLAND,2,ARGENTINA,19,7,8,1,0,2
D,ARGENTINA,2,ENGLAND,3,2,1,0,1,7
E,NETHERLANDS,2,CAMEROON,10,4,3,3,1,2
E,CAMEROON,2,NETHERLANDS,11,2,5,1,3,4
E,CANADA,2,NEW ZEALAND,22,6,11,2,0,0
E,NEW ZEALAND,2,CANADA,2,0,2,0,2,6
F,SWEDEN,2,THAILAND,34,15,16,5,1,3
F,THAILAND,2,SWEDEN,5,3,2,1,5,15
F,USA,2,CHILE,26,9,14,3,0,0
F,CHILE,2,USA,1,0,0,0,3,9
B,CHINA,3,SPAIN,1,0,0,0,0,9
B,SPAIN,3,CHINA,24,9,9,0,0,0
B,SOUTH AFRICA,3,GERMANY,7,1,4,0,4,12
B,GERMANY,3,SOUTH AFRICA,23,12,7,4,0,1
A,NIGERIA,3,FRANCE,2,0,2,0,1,4
A,FRANCE,3,NIGERIA,22,4,13,1,0,0
A,KOREA,3,NORWAY,23,7,9,1,2,2
A,NORWAY,3,KOREA,8,2,4,2,1,7
C,JAMAICA,3,AUSTRALIA,11,3,7,1,4,7
C,AUSTRALIA,3,JAMAICA,13,7,6,4,1,3
C,ITALY,3,BRAZIL,12,4,4,0,1,4
C,BRAZIL,3,ITALY,12,4,5,1,0,4
D,JAPAN,3,ENGLAND,16,5,10,0,2,6
D,ENGLAND,3,JAPAN,14,6,4,2,0,5
D,SCOTLAND,3,ARGENTINA,12,7,3,3,3,4
D,ARGENTINA,3,SCOTLAND,12,4,6,3,3,7
E,CAMEROON,3,NEW ZEALAND,22,7,12,2,1,3
E,NEW ZEALAND,3,CAMEROON,9,3,6,1,2,7
E,NETHERLANDS,3,CANADA,8,3,5,2,1,2
E,CANADA,3,NETHERLANDS,12,2,6,1,2,3
F,SWEDEN,3,USA,6,2,3,0,2,4
F,USA,3,SWEDEN,18,4,10,2,0,2
F,THAILAND,3,CHILE,6,2,3,0,2,7
F,CHILE,3,THAILAND,29,7,20,2,0,2
W,GERMANY,4,NIGERIA,12,4,5,3,0,1
W,NIGERIA,4,GERMANY,9,1,4,0,3,4
W,NORWAY,4,AUSTRALIA,27,8,11,1,1,4
W,AUSTRALIA,4,NORWAY,20,4,10,1,1,8
W,ENGLAND,4,CAMEROON,7,3,3,3,0,2
W,CAMEROON,4,ENGLAND,8,2,5,0,3,3
W,FRANCE,4,BRAZIL,15,4,9,2,1,6
W,BRAZIL,4,FRANCE,12,6,4,1,2,4
W,SPAIN,4,USA,5,1,2,1,2,3
W,USA,4,SPAIN,12,3,8,2,1,1
W,SWEDEN,4,CANADA,9,2,6,1,0,2
W,CANADA,4,SWEDEN,11,2,5,0,1,2
W,ITALY,4,CHINA,16,5,8,2,0,5
W,CHINA,4,ITALY,20,5,9,0,2,5
W,NETHERLANDS,4,JAPAN,12,5,0,2,1,4
W,JAPAN,4,NETHERLANDS,12,4,7,1,2,5
