group,team,game,opponent,attempts,off_target,on_target,goals_for,goals_against,on_target_against,on_target
D,JUVE,4,LOKO,17,5,9,2,1,5,9
A,PARI,4,CLUB,9,4,2,1,0,4,2
A,CLUB,4,PARI,14,5,4,0,1,2,4
A,REAL,4,GALA,21,4,12,6,0,2,12
A,GALA,4,REAL,6,1,2,0,6,12,2
B,CRVE,4,TOTT,5,1,2,0,4,5,2
B,TOTT,4,CRVE,17,10,5,4,0,2,5
C,DINA,4,SHAK,9,2,5,3,3,8,5
C,SHAK,4,DINA,16,6,8,3,3,5,8
C,ATAL,4,MANC,7,3,2,1,1,4,2
C,MANC,4,ATAL,10,3,4,1,1,2,4
D,LEVE,4,ATLE,16,8,3,2,1,8,3
D,ATLE,4,LEVE,12,2,8,1,2,3,8
A,GALA,5,CLUB,7,4,3,1,1,6,3
A,CLUB,5,GALA,13,5,6,1,1,3,6
D,LOKO,5,LEVE,10,5,5,0,2,5,5
D,LEVE,5,LOKO,15,7,5,2,0,5,5
A,REAL,5,PARI,28,10,13,2,2,4,13
A,PARI,5,REAL,13,4,4,2,2,13,4
B,CRVE,5,BAYE,3,1,1,0,6,16,1
B,BAYE,5,CRVE,28,4,16,6,0,1,16
B,TOTT,5,OLYM,13,5,5,4,2,3,5
B,OLYM,5,TOTT,9,4,3,2,4,5,3
C,ATAL,5,DINA,23,11,8,2,0,1,8
C,DINA,5,ATAL,8,4,1,0,2,8,1
C,MANC,5,SHAK,17,5,7,1,1,2,7
C,SHAK,5,MANC,7,3,2,1,1,7,2
D,JUVE,5,ATLE,6,3,2,1,0,2,2
D,ATLE,5,JUVE,15,9,2,0,1,2,2
G,ZENI,5,LYON,9,4,4,2,0,5,4
G,LYON,5,ZENI,14,6,5,0,2,4,5
H,VALE,5,CHEL,19,10,7,2,2,5,7
H,CHEL,5,VALE,17,8,5,2,2,7,5
E,LIVE,5,NAPO,14,5,4,1,1,1,4
E,NAPO,5,LIVE,4,2,1,1,1,4,1
E,GENK,5,SALZ,16,4,6,1,4,5,6
E,SALZ,5,GENK,18,6,5,4,1,6,5
F,BARC,5,DORT,13,4,6,3,1,4,6
F,DORT,5,BARC,9,4,4,1,3,6,4
F,SLAV,5,INTE,15,8,5,1,3,5,5
F,INTE,5,SLAV,13,8,5,3,1,5,5
G,LEIP,5,BENF,24,8,10,2,2,4,10
G,BENF,5,LEIP,12,5,4,2,2,10,4
H,LOSC,5,AJAX,12,4,5,0,2,3,5
H,AJAX,5,LOSC,14,9,3,2,0,5,3
E,NAPO,6,GENK,14,6,5,4,0,2,5
E,GENK,6,NAPO,14,8,2,0,4,5,2
E,SALZ,6,LIVE,11,2,7,0,2,7,7
E,LIVE,6,SALZ,22,12,7,2,0,7,7
F,DORT,6,SLAV,15,4,8,2,1,7,8
F,SLAV,6,DORT,18,7,7,1,2,8,7
F,INTE,6,BARC,16,5,7,1,2,5,7
F,BARC,6,INTE,18,6,5,2,1,7,5
G,LYON,6,LEIP,14,4,7,2,2,3,7
G,LEIP,6,LYON,12,4,3,2,2,7,3
G,BENF,6,ZENI,16,7,6,3,0,1,6
G,ZENI,6,BENF,4,3,1,0,3,6,1
H,CHEL,6,LOSC,20,5,9,2,1,2,9
H,LOSC,6,CHEL,7,4,2,1,2,9,2
H,AJAX,6,VALE,18,9,2,0,1,3,2
H,VALE,6,AJAX,7,4,3,1,0,2,3
C,DINA,6,MANC,6,3,2,1,4,7,2
C,MANC,6,DINA,13,5,7,4,1,2,7
C,SHAK,6,ATAL,9,4,2,0,3,8,2
C,ATAL,6,SHAK,17,7,8,3,0,2,8
A,PARI,6,GALA,14,4,10,5,0,0,10
A,GALA,6,PARI,6,3,0,0,5,10,0
A,CLUB,6,REAL,8,4,2,1,3,5,2
A,REAL,6,CLUB,11,4,5,3,1,2,5
B,BAYE,6,TOTT,24,9,11,3,1,5,11
B,TOTT,6,BAYE,7,1,5,1,3,11,5
B,OLYM,6,CRVE,27,16,9,1,0,2,9
B,CRVE,6,OLYM,7,3,2,0,1,9,2
D,LEVE,6,JUVE,12,7,1,0,2,2,1
D,JUVE,6,LEVE,6,4,2,2,0,1,2
D,ATLE,6,LOKO,23,9,6,2,0,1,6
D,LOKO,6,ATLE,3,0,1,0,2,6,1
W,ATLE,7,LIVE,8,6,2,1,0,0,2
